Sample_ID,SampleType,Region,Site_Code,Date,Color_Code,Tide_Cor_Depth_m,Transect_Depth_m,Transect_Num,Distance_bin_m,Time_Collected,Filter_Start,Filter_End,Filter_Time_Est,Collect_to_Filter_Time,Filter_Vol_mL,Notes,Entered,Entered_by,QCd_by,
KNI_068,Negative,NA,NA,2022-10-11,,NA,NA,NA,NA,NA,18:50,19:50,1:00,NA,1000,very choppy - started filtering on boat but had to stop and start again once back on land,2022-10-12,CP/HE,HE,
KNI_072,Negative,NA,NA,2022-10-12,,NA,NA,NA,NA,NA,10:34,12:13,1:39,NA,1000,,2022-10-12,CP/HE,HE,
KNI_097,Negative,NA,KNI_15,2022-10-13,,NA,NA,NA,NA,NA,9:40,11:25,1:45,NA,1000,dripped very slowly at start,2022-10-18,CP,HE,
KNI_125,Negative,NA,NA,2022-10-13,,NA,NA,NA,NA,NA,15:39,17:12,1:33,NA,1100,,2022-10-18,CP,HE,
KNI_137,Negative,NA,NA,2022-10-12,,NA,NA,NA,NA,NA,19:50,21:02,1:12,NA,1000,done in basement of float house rather than on boat ,2022-10-12,CP/HE,HE,did not have get label in field so added one once back in lab
KNI_061,Sample,Hoeya,KNI_10,2022-10-11,,0,NA,NA,NA,16:11,18:00,19:50,1:50,1:49,875,very choppy - started filtering on boat but had to stop and start again once back on shore,2022-10-12,CP/HE,HE*,
KNI_062,Sample,Hoeya,KNI_10,2022-10-11,,0,NA,NA,NA,16:11,18:00,19:50,1:50,1:49,1000,very choppy - started filtering on boat but had to stop and start again once back on shore,2022-10-12,CP/HE,HE*,
KNI_063,Sample,Hoeya,KNI_10,2022-10-11,,0,NA,NA,NA,16:11,18:00,19:50,1:50,1:49,975,very choppy - started filtering on boat but had to stop and start again once back on shore,2022-10-12,CP/HE,HE*,
KNI_064,Sample,Lull Creek,KNI_11,2022-10-11,,0,NA,NA,NA,16:47,18:50,20:25,1:35,2:03,850,,2022-10-12,CP/HE,HE,
KNI_065,Sample,Lull Creek,KNI_11,2022-10-11,,0,NA,NA,NA,16:47,18:50,20:35,1:45,2:03,850,,2022-10-12,CP/HE,HE,
KNI_066,Sample,Lull Creek,KNI_11,2022-10-11,,0,NA,NA,NA,16:47,18:50,20:45,1:55,2:03,850,bit of detritus,2022-10-12,CP/HE,HE,
KNI_067,Sample,Hoeya,KNI_10,2022-10-11,,28.7,NA,NA,NA,16:08,18:50,20:30,1:40,2:42,1000,,2022-10-12,CP/HE,HE,
KNI_069,Sample,Prominent Point,KNI_12,2022-10-12,,0,NA,NA,NA,10:26,10:28,12:19,1:51,0:02,1000,,2022-10-12,CP/HE,HE,
KNI_070,Sample,Prominent Point,KNI_12,2022-10-12,,0,NA,NA,NA,10:28,10:30,12:22,1:52,0:02,1000,,2022-10-12,CP/HE,HE,
KNI_071,Sample,Prominent Point,KNI_12,2022-10-12,,0,NA,NA,NA,10:30,10:32,12:28,1:56,0:02,1000,,2022-10-12,CP/HE,HE,
KNI_073,Sample,Prominent Point,KNI_12,2022-10-12,,22.1,NA,NA,NA,10:33,11:12,12:53,1:41,0:39,1010,,2022-10-12,CP/HE,HE,
