row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
KNI-061_S1_L001_R1_001.fastq.gz	257452	232548	229985	224135	215964	211851	200291	1.90448408068011	5.45666529778003	77.7974146637043
KNI-062_S2_L001_R1_001.fastq.gz	330867	303330	300052	293152	283659	277333	271494	2.23014253029166	2.10541118438844	82.0553273671898
KNI-063_S3_L001_R1_001.fastq.gz	259428	240742	237868	231668	223076	218100	210162	2.23062991984794	3.63961485557084	81.0097599333919
KNI-064_S4_L001_R1_001.fastq.gz	262438	241650	239132	231626	225244	213905	210048	5.03409635772762	1.80313690657069	80.0371897362425
KNI-065_S5_L001_R1_001.fastq.gz	231299	212878	210202	203556	195951	185333	177933	5.41870161417906	3.99281293671392	76.9276996441835
KNI-066_S6_L001_R1_001.fastq.gz	221443	200553	195511	187251	177516	145262	140741	18.1696297798508	3.11230741694318	63.5563102017223
KNI-067_S7_L001_R1_001.fastq.gz	294814	268661	266403	260911	251286	245839	243502	2.16764961040408	0.950622155150327	82.5951277754788
KNI-068_S8_L001_R1_001.fastq.gz	2811	1639	1336	1233	1188	1188	1188	0	0	42.2625400213447
KNI-069_S9_L001_R1_001.fastq.gz	242020	226995	224656	220146	212512	209750	207647	1.29969131154947	1.00262216924911	85.7974547558053
KNI-070_S10_L001_R1_001.fastq.gz	228918	215294	212508	208709	196472	194217	185300	1.14774624373956	4.59125617221974	80.9460156038407
KNI-071_S11_L001_R1_001.fastq.gz	224320	208952	206557	200726	191946	189583	186610	1.23107540662478	1.56817858141289	83.1891940085592
KNI-072_S12_L001_R1_001.fastq.gz	1450	971	671	619	601	601	601	0	0	41.448275862069
KNI-073_S13_L001_R1_001.fastq.gz	229175	210048	207916	200162	189917	183840	183245	3.19981886824245	0.323651000870314	79.9585469619287
KNI-074_S14_L001_R1_001.fastq.gz	216272	201302	198999	193719	185820	179825	175354	3.22624044774513	2.48630613096066	81.0803062809795
KNI-075_S15_L001_R1_001.fastq.gz	214734	200396	198295	192739	185466	179526	174058	3.20274335996893	3.04579838017891	81.0574943884061
KNI-076_S16_L001_R1_001.fastq.gz	226472	213361	211223	207237	197539	195834	187457	0.863120700216157	4.27760245922568	82.7727047935286
KNI-077_S17_L001_R1_001.fastq.gz	253493	239423	236443	231430	223891	217660	215577	2.78305068091169	0.956997151520724	85.0425850023472
KNI-078_S18_L001_R1_001.fastq.gz	266490	249750	247523	241163	234132	230363	222960	1.60977568209387	3.21362371561406	83.6654283462794
KNI-079_S19_L001_R1_001.fastq.gz	246008	226818	225387	218859	213224	209353	205336	1.81546167410798	1.9187687780925	83.4672043185587
KNI-080_S20_L001_R1_001.fastq.gz	262343	244279	241907	233098	223992	218533	212688	2.43714061216473	2.67465325602998	81.0724890696531
KNI-081_S21_L001_R1_001.fastq.gz	253186	235671	233424	226196	217773	211862	202107	2.7142942421696	4.60441230612379	79.8255037798299
KNI-082_S22_L001_R1_001.fastq.gz	234463	184410	182230	175646	169975	164367	163369	3.29930872187086	0.607177839834023	69.677944920947
KNI-083_S23_L001_R1_001.fastq.gz	236416	221152	219472	213416	207221	202458	199871	2.29851221642593	1.27779588852997	84.5420783703303
KNI-084_S24_L001_R1_001.fastq.gz	221872	206583	204818	198787	192694	187315	184584	2.79147249006196	1.45797186557404	83.193913607846
KNI-085_S25_L001_R1_001.fastq.gz	176328	162162	160314	155055	145814	143679	142565	1.4641941103049	0.775339472017492	80.8521618801325
KNI-086_S26_L001_R1_001.fastq.gz	161281	143782	141895	138102	132932	130194	128194	2.05969969608522	1.53616910149469	79.4848742257303
KNI-087_S27_L001_R1_001.fastq.gz	158243	140779	138803	133363	124747	121655	121261	2.47861672024176	0.32386667214665	76.6296139481683
KNI-088_S28_L001_R1_001.fastq.gz	181582	167247	165410	160460	152534	146513	141613	3.94731666382577	3.34441312375012	77.9884570056503
KNI-089_S29_L001_R1_001.fastq.gz	122115	105920	104523	95492	85792	85000	84837	0.923162998881011	0.191764705882363	69.473037710355
KNI-090_S30_L001_R1_001.fastq.gz	198893	184039	182218	177830	172502	169396	165654	1.80055883410047	2.20902500649366	83.2879990748795
KNI-091_S31_L001_R1_001.fastq.gz	207764	191623	189899	185205	178288	173000	171738	2.96598761554338	0.729479768786121	82.660133613138
KNI-092_S32_L001_R1_001.fastq.gz	212551	196266	193848	189765	180478	175788	174878	2.59865468367335	0.51766901039889	82.275783223791
KNI-093_S33_L001_R1_001.fastq.gz	223983	206257	204297	198996	188684	182107	181396	3.48572215980157	0.390429802259106	80.9865034399932
KNI-094_S34_L001_R1_001.fastq.gz	325147	307275	303934	299187	289788	286707	283700	1.06319102240259	1.0488059238177	87.2528425604419
KNI-095_S35_L001_R1_001.fastq.gz	305523	288370	286039	280844	274129	270478	268609	1.33185471073838	0.690998898246804	87.917767238473
KNI-096_S36_L001_R1_001.fastq.gz	261369	247480	244737	240298	233218	231102	229388	0.907305611059186	0.741663854055787	87.7640424074775
KNI-097_S37_L001_R1_001.fastq.gz	691	387	210	83	69	69	69	0	0	9.98552821997106
KNI-098_S38_L001_R1_001.fastq.gz	250877	234882	232920	228078	222277	217601	211489	2.10368144252442	2.80881062127472	84.2998760348697
KNI-099_S39_L001_R1_001.fastq.gz	223358	209129	207024	202281	195289	191407	190469	1.98782317488441	0.490055222640763	85.2752084098174
KNI-100_S40_L001_R1_001.fastq.gz	224903	208132	206085	199750	193280	189237	188379	2.09178394039735	0.453399705131659	83.7601099140518
KNI-101_S41_L001_R1_001.fastq.gz	190119	178245	176179	171561	163793	160925	158904	1.750990579573	1.25586453316762	83.5813359001467
KNI-102_S42_L001_R1_001.fastq.gz	178134	166845	164657	160561	154592	152607	148061	1.28402504657421	2.97889349767703	83.1177652778246
KNI-103_S43_L001_R1_001.fastq.gz	168256	157738	155978	151511	145853	143606	141945	1.54059224013218	1.15663690932134	84.3625190186383
KNI-104_S44_L001_R1_001.fastq.gz	176396	166097	164729	160057	156614	154016	153406	1.65885553015694	0.396062746727608	86.9668246445498
KNI-105_S45_L001_R1_001.fastq.gz	268947	251496	248839	242392	233515	229779	224548	1.59989722287648	2.27653527955121	83.4915429434052
KNI-106_S46_L001_R1_001.fastq.gz	204385	191356	189084	184537	179080	176296	173074	1.55461246370338	1.82760811362708	84.6803826112484
KNI-107_S47_L001_R1_001.fastq.gz	193399	180852	179619	175561	170823	169230	168291	0.932544212430415	0.55486615848254	87.0175130171304
KNI-108_S48_L001_R1_001.fastq.gz	170344	159741	158540	154730	151233	149385	144711	1.22195552557973	3.12882819560197	84.9522143427418
KNI-109_S49_L001_R1_001.fastq.gz	186099	172753	170523	167406	162415	160682	159286	1.06701967182833	0.868796753836776	85.5920773351818
KNI-110_S50_L001_R1_001.fastq.gz	268575	248124	245287	241342	234821	232901	227388	0.817644077829499	2.36710018419843	84.6646188215582
KNI-111_S51_L001_R1_001.fastq.gz	182873	171225	169947	166457	163395	160920	157636	1.51473423299366	2.04076559781258	86.199712368693
KNI-112_S52_L001_R1_001.fastq.gz	202961	189608	187757	183574	177939	174449	172796	1.9613463040705	0.947554872770837	85.1375387389696
KNI-113_S53_L001_R1_001.fastq.gz	241317	225386	224047	219796	215388	211158	210589	1.96389771017884	0.269466465869158	87.2665415200753
KNI-114_S54_L001_R1_001.fastq.gz	185248	172097	170374	166987	161466	157199	155553	2.64266161297115	1.04708045216573	83.9701373294179
KNI-115_S55_L001_R1_001.fastq.gz	171212	160424	158288	154876	147428	144067	140060	2.27975689828254	2.78134479096531	81.8050136672663
KNI-116_S56_L001_R1_001.fastq.gz	149439	136793	134965	131435	126898	124673	123659	1.75337672776561	0.813327665172096	82.7488138973093
KNI-117_S57_L001_R1_001.fastq.gz	183144	170605	168715	164563	158605	155449	152983	1.9898489959333	1.58637237936557	83.5315380247237
KNI-118_S58_L001_R1_001.fastq.gz	254754	234887	232278	226812	219737	215810	213729	1.787136440381	0.964274130021778	83.8962293035634
KNI-119_S59_L001_R1_001.fastq.gz	271288	254268	252627	246407	231953	229046	223637	1.25327113682513	2.36153436427617	82.4352717407331
KNI-120_S60_L001_R1_001.fastq.gz	262320	245548	243566	237568	227426	223334	220630	1.79926657462207	1.21074265449954	84.107197316255
KNI-121_S61_L001_R1_001.fastq.gz	261126	244262	242636	236933	227088	223894	223628	1.40650320580568	0.11880622080092	85.6398826620099
KNI-122_S62_L001_R1_001.fastq.gz	183548	171549	169844	165363	160540	157408	156512	1.95091565964869	0.569221386460654	85.2703380042278
KNI-123_S63_L001_R1_001.fastq.gz	192362	181043	179703	175620	168922	166733	165605	1.29586436343401	0.676530740765173	86.0902881026398
KNI-124_S64_L001_R1_001.fastq.gz	191871	179748	177861	173635	167744	164149	162952	2.14314669973292	0.729215529793066	84.9278942622908
KNI-125_S65_L001_R1_001.fastq.gz	2013	1217	841	767	738	738	738	0	0	36.6616989567809
KNI-126_S66_L001_R1_001.fastq.gz	250230	233502	231274	226396	215261	212600	205350	1.23617376115507	3.41015992474129	82.0645006593934
KNI-127_S67_L001_R1_001.fastq.gz	253531	237441	235828	230795	220287	217950	211571	1.06088874967656	2.92681807754072	83.4497556511827
KNI-128_S68_L001_R1_001.fastq.gz	267802	251575	249394	244179	238934	235258	232410	1.5385001715955	1.21058582492412	86.784265987558
KNI-129_S69_L001_R1_001.fastq.gz	242822	228032	225943	220955	215187	212798	210272	1.11019717733878	1.18704123159053	86.5951190584049
KNI-130_S70_L001_R1_001.fastq.gz	234284	220651	219014	214736	210639	207761	205372	1.36631867792764	1.14987894744442	87.659421898209
KNI-131_S71_L001_R1_001.fastq.gz	227783	214171	212661	208237	203488	199630	198618	1.89593489542381	0.50693783499473	87.1961472102835
KNI-132_S72_L001_R1_001.fastq.gz	224853	210974	209323	204523	199950	197012	191053	1.46936734183546	3.02468885144053	84.9679568429151
KNI-133_S73_L001_R1_001.fastq.gz	261403	246019	243776	239392	234189	231474	229007	1.15932003638088	1.06577844595938	87.6068752080121
KNI-134_S74_L001_R1_001.fastq.gz	227174	211589	208523	203101	196229	191901	189743	2.20558633025699	1.12453817332896	83.523202479157
KNI-135_S75_L001_R1_001.fastq.gz	284044	264996	263336	258176	252478	249636	245916	1.12564263024896	1.49016968706437	86.5767275492529
KNI-136_S76_L001_R1_001.fastq.gz	275831	258366	256396	250488	244112	240809	238946	1.35306744445172	0.773642181147721	86.6276814426225
KNI-137_S77_L001_R1_001.fastq.gz	1964	1329	1154	1057	1037	1037	1037	0	0	52.8004073319756
KNI-NEG-PCR_S82_L001_R1_001.fastq.gz	677	373	367	352	255	255	255	0	0	37.6661742983752
KNI-XN05_S78_L001_R1_001.fastq.gz	969	389	128	92	56	56	56	0	0	5.77915376676987
KNI-XN06_S79_L001_R1_001.fastq.gz	1064	595	458	411	404	404	404	0	0	37.9699248120301
KNI-XN08_S81_L001_R1_001.fastq.gz	559	86	77	59	54	54	54	0	0	9.66010733452594
