reads.in	reads.out	percentage_retained
KNI-061_S1_L001_R1_001.fastq.gz	257452	232548	90.326740518621
KNI-062_S2_L001_R1_001.fastq.gz	330867	303330	91.6773204943376
KNI-063_S3_L001_R1_001.fastq.gz	259428	240742	92.7972308309049
KNI-064_S4_L001_R1_001.fastq.gz	262438	241650	92.0788910142586
KNI-065_S5_L001_R1_001.fastq.gz	231299	212878	92.0358497010363
KNI-066_S6_L001_R1_001.fastq.gz	221443	200553	90.5664211557827
KNI-067_S7_L001_R1_001.fastq.gz	294814	268661	91.1289830198023
KNI-068_S8_L001_R1_001.fastq.gz	2811	1639	58.3066524368552
KNI-069_S9_L001_R1_001.fastq.gz	242020	226995	93.7918353855053
KNI-070_S10_L001_R1_001.fastq.gz	228918	215294	94.0485239255978
KNI-071_S11_L001_R1_001.fastq.gz	224320	208952	93.1490727532097
KNI-072_S12_L001_R1_001.fastq.gz	1450	971	66.9655172413793
KNI-073_S13_L001_R1_001.fastq.gz	229175	210048	91.6539762190466
KNI-074_S14_L001_R1_001.fastq.gz	216272	201302	93.0781608345047
KNI-075_S15_L001_R1_001.fastq.gz	214734	200396	93.3229018227202
KNI-076_S16_L001_R1_001.fastq.gz	226472	213361	94.2107633614751
KNI-077_S17_L001_R1_001.fastq.gz	253493	239423	94.4495508751721
KNI-078_S18_L001_R1_001.fastq.gz	266490	249750	93.7183383991895
KNI-079_S19_L001_R1_001.fastq.gz	246008	226818	92.1994406685961
KNI-080_S20_L001_R1_001.fastq.gz	262343	244279	93.1143579207374
KNI-081_S21_L001_R1_001.fastq.gz	253186	235671	93.0821609409683
KNI-082_S22_L001_R1_001.fastq.gz	234463	184410	78.6520687699125
KNI-083_S23_L001_R1_001.fastq.gz	236416	221152	93.5435841905793
KNI-084_S24_L001_R1_001.fastq.gz	221872	206583	93.1090899257229
KNI-085_S25_L001_R1_001.fastq.gz	176328	162162	91.9661086157615
KNI-086_S26_L001_R1_001.fastq.gz	161281	143782	89.1499928695879
KNI-087_S27_L001_R1_001.fastq.gz	158243	140779	88.9638088256669
KNI-088_S28_L001_R1_001.fastq.gz	181582	167247	92.1054950380544
KNI-089_S29_L001_R1_001.fastq.gz	122115	105920	86.7379109855464
KNI-090_S30_L001_R1_001.fastq.gz	198893	184039	92.5316627533397
KNI-091_S31_L001_R1_001.fastq.gz	207764	191623	92.2310891203481
KNI-092_S32_L001_R1_001.fastq.gz	212551	196266	92.3383093939808
KNI-093_S33_L001_R1_001.fastq.gz	223983	206257	92.0860065272811
KNI-094_S34_L001_R1_001.fastq.gz	325147	307275	94.5034092272111
KNI-095_S35_L001_R1_001.fastq.gz	305523	288370	94.3856927301709
KNI-096_S36_L001_R1_001.fastq.gz	261369	247480	94.6860568774415
KNI-097_S37_L001_R1_001.fastq.gz	691	387	56.0057887120116
KNI-098_S38_L001_R1_001.fastq.gz	250877	234882	93.6243657250366
KNI-099_S39_L001_R1_001.fastq.gz	223358	209129	93.6295095765542
KNI-100_S40_L001_R1_001.fastq.gz	224903	208132	92.5430074298698
KNI-101_S41_L001_R1_001.fastq.gz	190119	178245	93.754438009878
KNI-102_S42_L001_R1_001.fastq.gz	178134	166845	93.6626359931288
KNI-103_S43_L001_R1_001.fastq.gz	168256	157738	93.7488113351084
KNI-104_S44_L001_R1_001.fastq.gz	176396	166097	94.1614322320234
KNI-105_S45_L001_R1_001.fastq.gz	268947	251496	93.5113609744671
KNI-106_S46_L001_R1_001.fastq.gz	204385	191356	93.6252660420285
KNI-107_S47_L001_R1_001.fastq.gz	193399	180852	93.512375968852
KNI-108_S48_L001_R1_001.fastq.gz	170344	159741	93.7755365613112
KNI-109_S49_L001_R1_001.fastq.gz	186099	172753	92.8285482458261
KNI-110_S50_L001_R1_001.fastq.gz	268575	248124	92.3853672158615
KNI-111_S51_L001_R1_001.fastq.gz	182873	171225	93.6305523505384
KNI-112_S52_L001_R1_001.fastq.gz	202961	189608	93.420903523337
KNI-113_S53_L001_R1_001.fastq.gz	241317	225386	93.3983101066232
KNI-114_S54_L001_R1_001.fastq.gz	185248	172097	92.9008680255657
KNI-115_S55_L001_R1_001.fastq.gz	171212	160424	93.6990397869308
KNI-116_S56_L001_R1_001.fastq.gz	149439	136793	91.5376842725125
KNI-117_S57_L001_R1_001.fastq.gz	183144	170605	93.1534748613113
KNI-118_S58_L001_R1_001.fastq.gz	254754	234887	92.2014963454941
KNI-119_S59_L001_R1_001.fastq.gz	271288	254268	93.7262245289139
KNI-120_S60_L001_R1_001.fastq.gz	262320	245548	93.6062824031717
KNI-121_S61_L001_R1_001.fastq.gz	261126	244262	93.5418150624603
KNI-122_S62_L001_R1_001.fastq.gz	183548	171549	93.4627454398849
KNI-123_S63_L001_R1_001.fastq.gz	192362	181043	94.115781703247
KNI-124_S64_L001_R1_001.fastq.gz	191871	179748	93.6816923870726
KNI-125_S65_L001_R1_001.fastq.gz	2013	1217	60.4570293094883
KNI-126_S66_L001_R1_001.fastq.gz	250230	233502	93.3149502457739
KNI-127_S67_L001_R1_001.fastq.gz	253531	237441	93.6536360445074
KNI-128_S68_L001_R1_001.fastq.gz	267802	251575	93.9406725864631
KNI-129_S69_L001_R1_001.fastq.gz	242822	228032	93.9091186136347
KNI-130_S70_L001_R1_001.fastq.gz	234284	220651	94.1809940072732
KNI-131_S71_L001_R1_001.fastq.gz	227783	214171	94.0241370075906
KNI-132_S72_L001_R1_001.fastq.gz	224853	210974	93.8275228704976
KNI-133_S73_L001_R1_001.fastq.gz	261403	246019	94.1148341832343
KNI-134_S74_L001_R1_001.fastq.gz	227174	211589	93.1396198508632
KNI-135_S75_L001_R1_001.fastq.gz	284044	264996	93.2939967047359
KNI-136_S76_L001_R1_001.fastq.gz	275831	258366	93.6682243837712
KNI-137_S77_L001_R1_001.fastq.gz	1964	1329	67.6680244399185
KNI-NEG-PCR_S82_L001_R1_001.fastq.gz	677	373	55.096011816839
KNI-XN05_S78_L001_R1_001.fastq.gz	969	389	40.1444788441692
KNI-XN06_S79_L001_R1_001.fastq.gz	1064	595	55.921052631579
KNI-XN07_S80_L001_R1_001.fastq.gz	837	246	29.3906810035842
KNI-XN08_S81_L001_R1_001.fastq.gz	559	86	15.3846153846154
